Nama Aplikasi,Nama Pengguna,Komentar,Rating,Tanggal Ulasan
Netflix,H. Deodone Song,"film yg bagus dikit bgt muncul di netflix, yg banyak film film indo yg sampah. ga nafsu nonton",1,1/22/2026 23:04
Netflix,Naufal AdiwiryaPutra,"aneh banget email aktif ga ke detect ama system nya padahal udh langganan tiap bulan,cape banget harus bolak balik ke cs",1,1/22/2026 18:30
Netflix,Afendi Afendi,"Login di handphone atau laptop ribet semua selalu salah sandi, email tidak ditemukan dll baru masuk langsung salah sandiii hadeh kapokk",1,1/22/2026 15:34
Netflix,Adi Putra,Sayantidak bisa login sudah 3 hari,1,1/22/2026 15:06
Netflix,Mira SE,"buruk bangat ini aplikasi, baru saja hari ini mulai berlangganan tapi sudah kecewa..semua video gak ada yang bisa di buka..semua overload..nonton video durasi 10 menit bisa di tungguin sampai berjam-jam..",1,1/22/2026 15:03
Netflix,Kharisha Neifa,Tambahin film ne zha yg pertama plss huehueheu🥺🥺,4,1/22/2026 14:42
Netflix,Rian Wulan,filmnya ga komplit,1,1/22/2026 14:29
Netflix,Dani Ramdani,gue udah bayar tapi gak bisa login,1,1/22/2026 11:26
Netflix,Ilham Okke,udh langganan tpi sering lag sama gk bisa masuk tolong benerin nih apk banyak lag nya,2,1/22/2026 4:09
Netflix,Akina Chika,"udah muak banget, kemarin akun lama mau di login ga bisa. akhirnya daftar ulang dan berlangganan ulang, belum cukup sepekan udh error. gimana sih ini depelover,",2,1/22/2026 1:59
Netflix,Asyfah Naila,"apaan co, gabisa di masukin belum sehari udah out sendiri gajelas netflix, pas masukin alamat email malah ga valid padahal udah bener itu email nyaa, malas bgt asli, masa harus masukin lewat web dulu hadehh 🤬😡",1,1/22/2026 0:36
Netflix,Roroh Rohmawati,gabisa di pake apk nya tapi pas mau di hpus juga gabisa,1,1/21/2026 22:24
Netflix,buku buku,hai Netflix..kenapa saya tiba² tidak bisa membuka aplikasi Netflix di HP saya ya?,5,1/21/2026 16:56
Netflix,Antonius Alexander,"apk nya aneh, gabisa login, pdhl sebelum""nya oke"" aja jdi ribet",1,1/21/2026 15:27
Netflix,Manggis Manis,kasih bintang 1 aja..semakin parah pelayanan nya .masa iya ud asik kena house ehold mau klik perbarui ktny trjadi kesalahan cb lagi nanti gt gt aja terus..tlg la..jgn mempersulit org..parah betul,1,1/21/2026 14:14
Netflix,naco meong,"grafik sangat jelek, mata saya sakit",1,1/21/2026 13:56
Netflix,Firlie Akbar,"ribet pembayarannya, no hp ga bisa nerima sms, katro masih pake sms padahal udah ada wa tinggal bayar, atau Qris simpel ini mah belibet mau bayar bae hese katrok",1,1/21/2026 13:55
Netflix,Vivo,"Sumpah baru kali ini aku gagal join netflix, gk jelas banget udah login di web pas masuk aplikasi harus login lagi mana pas masukin email kagak bisa katanya bermasalah, bermasalah apa? gk jelas😡 rugi aja dong udah kebeli prem nya.",1,1/21/2026 12:52
Netflix,Angga Gonzalez,buat tv udh gak bisa sulit banget mending ke yg lain kalau kaya gini,1,1/21/2026 11:54
Netflix,blue purple,Aplikasi streaming dengan banyak pilihan film dan series berkualitas,5,1/21/2026 8:50
Netflix,Farhan Nursalim,the best pokoknyaa mantafff,5,1/21/2026 4:58
Netflix,M.Wahyudinoor Alias kiterugoma,Film the Saint of teknology : power of gods gak ada kah?,5,1/20/2026 23:46
Netflix,Marwika Elsa,ini kenapa masalahnya dimana saya sudah bayar berlangganan saldo sudah terpotong tp masih aja suruh bayar lg susah nonton,2,1/20/2026 18:23
Netflix,alya gustiara,gabisa login. payah,1,1/20/2026 15:30
Netflix,Chikal Raya,lama banget daftarnya,1,1/20/2026 12:42
Netflix,Paman,Bosok. suka ga bs nonton film. suka log out sendiri. login jg jd beda. aneh.,1,1/20/2026 12:26
Netflix,Reyhan Reyhann,sangat sulit buat masuk,1,1/20/2026 11:34
Netflix,linn naa_,"saya selalu tidak bisa masuk dan tulisannya terjadi kesalah terus, sudah saya tunggu 1-2 jam masih saja seperti itu. padahal udah ganti akun berkali kali. update an barunya sangat tidak ber faedah.",1,1/20/2026 11:15
Netflix,Hendra Hermawan,bgus bnget aku ksih lima bintang,5,1/20/2026 9:17
Netflix,Farel Saputra 2,bisa dipermudah GK aku mau login dan mau berlangganan ribet banget dikit dikit error tolong di bantu jangan diam saja berani berbuat berani bertanggung jawab,1,1/20/2026 8:28
Netflix,7G Ari Wibowo,"susah untuk login akun,setiap berhasil login pasti pas mutar videonya selalu ada tulisan terjadi masalah 5.7.6 udah di ikutin segala cara tetap GK bisa",1,1/20/2026 7:26
Netflix,Andreas IS,"Tolong dipertimbangkan waktu kecepatan pergantian subtitle (reading speed) terutama untuk kalimat yang panjang. Penonton harus fokus pada dua hal, adegan dan text, kecepatan membacanya juga akan berkurang. Terlalu cepat menjadi kurang menikmati filmnya.",4,1/20/2026 7:08
Netflix,Destri Safitri,"ADMINN HELP FLIM THE WALKING DEAD KO GAADA SUBTITLE INDONESIA NYA, TOLONG D EVALUASI PENGEN BANGET NONTON",5,1/20/2026 6:57
Netflix,Hari Wibowo,RIBET... TOLONG DI BIKIN SEMPLE TAPI TETEP AMAN LAH. SEKARANG UDAH ZAMAN MUDAH TAPI APLIKASI INI BURUK.,1,1/20/2026 4:03
Netflix,Abd Rohim,setiap mau masuk dipersulit,1,1/19/2026 17:23
Netflix,irsan syaid,"sudah berbayar tapi sering banget bermasalah pas mau mutar ulang padahal cuman sebentar aja keluar dari apk nya udah bermasalah pas mau nntn lagi, ROM/RAM GK penuh terus juga udah coba bersihkan cache nya sampe cache netflixnya juga tetap aja beramasalah di pemutaran dan lebih parah lagi walaupun sudah di download sama aja beramasalah pas mau di putar, tolong di Benahi",2,1/19/2026 15:22
Netflix,Kang uban,knp susah bngt masuk nya,5,1/19/2026 14:55
Netflix,Kebi Bik,film ngak full contoh fast and furious sumpah jelek banget udah kureng ni apk,2,1/19/2026 14:30
Netflix,Lutfi 47,"semenjak ada update login yang baru aku punya 5 akun berlangganan premium gabisa masuk semua, keterangannya terjadi kesalahan teknis, udah 2 hari dicoba masuk ke 5 akun tersebut tetap sama hasilnya gitu, buang² duit, udah lapor ke cs malah responnya ngeselin...Bukan membantu",1,1/19/2026 12:57
Netflix,Faiq Ghazali,Balikin dong film interstelar,4,1/19/2026 12:16
Netflix,syifaA,tampilan login berubah jadi email saja tidak pake sandi dan email selalu salah,1,1/19/2026 11:02
Netflix,Sura Ningsih,"saya sarankan jangan beli langganan netflix, yang mau nyobain netflix di TV jangan!! pengalaman gw sendiri ketika gapengen langganan, tiba tiba nyerep tanpa izin dari gw, terus isinya juga film film yang pernah tayang di TV(rata rata) mending nonton bajakan, film spiderman gak ada, film film bagus juga gaada, rata rata film nya Indonesia dan gw yang gasuka film Indonesia cuma bisa nonton anime, sedangkan anime bisa nonton di youtube di muse. FYI aja One Piece cm sampe episode 750",1,1/19/2026 9:28
Netflix,Farel Eka.,aneh jika memakai wifi saluran saluran yang biasa saya lihat tiba tiba hilang dan tidak tersedia...padahal jaringan tidak memakai vpn / proxy...kecewa.,1,1/19/2026 9:02
Netflix,Daffz_ajahh,"platform iconic,minus kadang suka ke log out sendiri dari akun, tambahin mr robot ke server Indonesia dong min",4,1/19/2026 8:54
Netflix,Sifa alfani,banyak film yg gaada,2,1/19/2026 5:44
Netflix,Yudi .S,pembaruan 2026 sudah makin kacau ga bisa login.. email yang salah pdhl sdh langganan 1 bulan bobrok aplikasi,1,1/19/2026 2:09
Netflix,muhammad qais alfathan,pembayaran knapa maksa banget? gbisa di konfirmasi dlu untuk pembayarannya? langsung ngambil? sama kayak pencuri klo gini,1,1/19/2026 1:29
Netflix,Nusa Dua,film itu itu aja... KURANG LENGKAP. dalam pencarian pun gk ada.. hadewchhhh,2,1/19/2026 1:24
Netflix,Wynne Weskurni,"tolong banget nih buat film india yang dulu² di banyakin dong, di adain subs indonesia",3,1/18/2026 22:43
Netflix,Dewi Indah,min tolong tetep bisa buka netflix...walaupun gk langganan.gpp liat iklan🤪🤲... terus tambahin drama short bule... ☺☺☺,5,1/18/2026 20:18
Netflix,Rajab K.M,Baru aja kmrin siang ada The Walking Dead n baru nonton masih episode pertama kok malam mau nonton ilang !!!!,2,1/18/2026 17:46
Netflix,Meli Yantinoviyansah,saya sudah bayar mengunakan SIM kard by u kenapa masih minta sambung pembayaran dan di potong lagi di Shopee saya minta pengembali dana tidak bisa,1,1/18/2026 17:11
Netflix,Reno Octavian,parah gua berlangganan mau maen game RDR tapi Ga bisa di HP dan Laptop caur sekali anjir. perangkat ga mendukung caur asli,1,1/18/2026 16:37
Netflix,febrian pradhana,"tidk bisa dilogin setelah melakukan pmbayaran, klo minta uang ga gini caranya",1,1/18/2026 16:13
Netflix,Dian risca,mohon masukkan film yang seru² dong. kayak twilight eps 1 sampai tamat tolong masuk kan. masa film film lama yg seru² gak ada sih 😫,4,1/18/2026 15:41
Netflix,Ihsan,emang harus dibayar kubkira gratis,1,1/18/2026 14:40
Netflix,Nonik Wanda,mulai sering error heran bgt pdhl awal2 aman Uda di bersihkan cachenya jg sama aj susahnya mo nonton film pdhl Uda langganan bener2 rugi kalo gini terus,2,1/18/2026 13:37
Netflix,Vava (Va_sagitarius),heran berkali kali ga bisa masuk,1,1/18/2026 13:37
Netflix,Muhammad Maulana,biaya langganan doang mahal tapi sering trouble,1,1/18/2026 13:36
Netflix,Reimei Reimei,"ini kenapa anime banayak yg hilang, detektif conan padahal lagi maraton malah hilang, ini anime fate malah gak ada subtitle nya",1,1/18/2026 12:49
Netflix,Moel Yadi,susah buat login k akun klo pakai tv.,1,1/18/2026 11:55
Netflix,048_ Ahmad Dirga Ahayu Sinuba,why my film list and my series history missing ? NOT ONLY ONCE BUT ALWAYS MISSING MANY MANY MANY TIMES 👎,1,1/18/2026 10:01
Netflix,Kulia Sonde,saya senang sekali dengan aplikasi Netflix karena saya bisa dapat nonton film dengan selengkapnya 😇,5,1/18/2026 8:14
Netflix,The Gaek,"aplikasi bodong gw beli satu bulan paket terus baru pertanggahan bulan udah disuruh langganan lagi, aplikasi penipuan",1,1/18/2026 7:03
Netflix,Pajriatulfathiya Fathiya,"mohon untuk kembalikan opsi login yang muncul langsung email sama pw, jangan yang ngetik emailnya dulu terus otomatis kirim kode",1,1/18/2026 4:52
Netflix,Cinta,biar bintang yang berbicara,5,1/18/2026 1:43
Netflix,Bambang Ariawan,kenapa ya setiap saya mencoba daftar menggunakan email atau gmail dan nomor saya tetap saja tidak bisa,1,1/18/2026 1:39
Netflix,Ania Agus,"saya berhenti berlangganan, tapi tagihan masih di tarik",2,1/17/2026 18:07
Netflix,Riswan Pomalaa,film kurang lengkap,2,1/17/2026 15:10
Netflix,Dendy Ramadan,bagus untuk langganan film disini.,5,1/17/2026 14:47
Netflix,Serly Verawati,"netflix tibaa² tidak bisa untuk menonton film, sudah diuninstal, sudah restart hp juga nggakk bisaa",4,1/17/2026 13:49
Netflix,Andxxia,"uda ga bisa masuk dan masih banyak bug, tolong di perbaiki ya kikir",1,1/17/2026 12:37
Netflix,Kalisa “Lisa”,kenapa pas masuk suka susah padahal jaringan bagus pas mau log in selalu aja tunggu beberapa menit dulu padahal udah di clear udah di hapus juga data penyimpanan tetep aja ga bisa,1,1/17/2026 7:40
Netflix,R G,"Filmnya jarang update, banyakan film yg sudah lama",1,1/17/2026 5:54
Netflix,Ane Dendi,ribet amat jangan download aplikasi ini ribet mau masuk aja harus berlangganan dulu,1,1/17/2026 4:43
Netflix,Dwi Setyadi Mahasena,"kenapa muncul iklan""gak jelas pas nonton. jadi gak nyaman nonton",3,1/17/2026 4:21
Netflix,Lang uage,ga bisa sign in,1,1/17/2026 1:25
Netflix,Romeo Purba,"mau login di hp android susah kali sekarang, harus verifikasi email dulu, ngga bisa pakai password lagi, lol",1,1/17/2026 1:12
Netflix,Maria Lieffiana Addeline,"setelah di update malah gabisa nonton lanjutan filmnya, loading terus²an, semakin kesini semakin buruk, knpa mempersulit pengguna!",2,1/16/2026 23:14
Netflix,hhan yuJJin,diskon dikit kak,4,1/16/2026 17:44
Netflix,Septiana Dwi Jayanti,"udh beli paket gak bisa masuk, pake email gak bisa nomer ponsel juga gak bisa",2,1/16/2026 16:04
Netflix,Usman ngb,"sangat buruk, ini aplikasi berbayar, harga nya juga mahal.",1,1/16/2026 15:42
Netflix,Tremospanas Ku,"kenapa harus ubah metode pembayaran di tengah penggunaan, saya hanya memakai gopay lalu terus muncul tulisan sudah terhubung akun lain, akun lain mana ?, hanya ada 1 Netflix di 1 akun ini, kalau memang tidak kompeten, tidak perlu membuka layanan sampah yang sulit diakses pembayarannya bodoh",1,1/16/2026 14:37
Netflix,Fadhil Alkatiri,tidak bisa menambahkan atau mengahapus metode pembayaran,1,1/16/2026 14:19
Netflix,Dwi Seftianty Pramurata,"udah berenti berlangganan, tetep aja otomatis dipotong , parah bgt , jangan pernah mau berlangganan Netflix. udah klik berenti tetep ditarik otomatis.",1,1/16/2026 12:45
Netflix,Rudi Abidin,"Saya tidak bisa nonton Anime Jepang. ada tulisan ""Kamu nampaknya menggunakan VPN atau proxy, lalu coba lagi"" Udah dinupdate, udah clear cache, udah re instal masih tetep sama. padahal saya g pake VPN. saya coba di HP dan TV. ttp sama. langganan mahal tau gitu g usah perbarui. males gua.",1,1/16/2026 10:38
Netflix,nurin nashifa,"JELEKK, NGGA BISA LOGIN, LAG PARAH",1,1/16/2026 10:05
Netflix,Ricky Adi,"apk ga jelas, main potong potong uang orang aja, giliran di pake aja ga bisa apaan, mau berhenti langganan ga bisa aneh banget ni apk",1,1/16/2026 9:55
Netflix,Rm Appstore,"gimana sih mau masuk netflix ini sekarang, ngga bisa pakai pasword,, bikin susah aja. update bukan nambah bagus dan mudah malah tambah susah lol",1,1/16/2026 7:54
Netflix,Adi Bekti,aku tidak suka sama netfilix. kalo mau login tidak ada google,1,1/16/2026 7:00
Netflix,Aderahma,susah bgt mau log in,1,1/16/2026 5:55
Netflix,Rafif Azka Ibrahim,knp semua film di akun saya tidak pada bisa saya lihat >:(,1,1/16/2026 3:20
Netflix,Aca JKT48,GAJELAS anj pendaftaran nya,1,1/16/2026 2:58
Netflix,Iseu Hanifah,"udh lama gabisa diputar filmnya, terjadi kesalahan terus.",1,1/16/2026 0:20
Netflix,Haikal Xd,aplikasi penipu padahal udah batalin pembayaran setiap bulan dana kebayar sendiri 65k kecewa makan itu duit haram,1,1/15/2026 16:37
Netflix,Zaa Raa,aneh banyak mau banget,1,1/15/2026 13:18
Netflix,I Gusti Ngurah Putu Artha Sedana,"aplikasi buruk. saya sudah punya akun sebelumnya, terus saya mau login menggunakan akunnya itu tapi gak ada pilihan untuk masuk menggunakan akun yang sudah ada dan malah disuruh buat akun baru",1,1/15/2026 12:02
Netflix,Khaerul Maulana,"baru dua bulan langganan paket 65rb, di bulan ketiga tiba2 berubah udh 185rb . najis",1,1/15/2026 9:33
Netflix,ATREUS ID,"aku punya pemasukan, apa bisa menambahkan fitur nonton bareng atau nobar biar seru menonton bersama pasangan yang lagi Long Distance Relationship atau LDR. jika berkenan mohon ditambahkan fitur nobar agar aku dan pasanganku yang lagi LDR bisa nonton bareng",5,1/15/2026 8:39
Netflix,Fadel Muhammad,gajelas gabisa nonton udah bayar jugaaa,1,1/15/2026 4:53
Netflix,indo manunggal trans,ya Allah netflix elu bikin tampilan baru setiap login harus pake kode..dan masuk login aplikasi email ngk bisa terus..makin lama makin aneh ini aplikasi..,1,1/15/2026 4:03
Netflix,Moster Nova,"ini Netflix nya Kenapa Cepat amat bulanannya Beli di tanggal 25/12/2025 Tapi Belum 1 bulan udh Habis Duluan Di tanggal 15/1/2026, Mohon di perbaiki",4,1/14/2026 19:05
Netflix,Siauni Nini,itu daftar akun nya gimana yaa?,3,1/14/2026 12:16
Netflix,Dewi Nara,tidak bisa login susah berulang kali di coba login tetap gagal tapi saldo berlangganan terpotong terus,1,1/14/2026 11:48
Netflix,Nuri Ria,"Netflix tolong banyakin film Jackie Chan nya,,nanti aku akan terus berlangganan deh kalo di banyakin.. aku kasih bintang 3 dulu ya,, nanti kalo udah banyak aku kasih bintang 5 hehe",3,1/14/2026 10:46
Netflix,里兹基黑鬼,gw kirain gratis buat bikin akun ternyata bayar kikir amat anying 😹,1,1/14/2026 10:22
Netflix,Rani Kyowi,"mau membatalkan keanggotaan malah error, pas balik ke apk disuruh login ulang, ribet banget dah",1,1/14/2026 6:23
Netflix,Adhitya Rifantono,good movie application..netflix,5,1/14/2026 3:39
Netflix,channel singkawang,Bisa Tonton KPop Demon Hunters,5,1/13/2026 14:58
Netflix,Uwais Kencana,banyak film keren bagus dan terbaiklah walaupun harus bayar,4,1/13/2026 10:48
Netflix,Asep Villa1984,"sya kasih bintang 3, soalnya yg udh di dwonlod, trus dwonlod lgi ga bisa, pdhl ruang penyimpanan msh 9giga terpakai baru 3 giga mohon di perbaiki saya suka dgn Netflix",3,1/13/2026 10:04
Netflix,Delio,Saya sudah bayar kok belum bisa masuk masa di suruh bayar lagi,1,1/13/2026 8:17
Netflix,Mariana Sipayung,Neflix ya bagus kalian nonton nanti nyesel itu lumqyan aku kasih bintang lima kalian ga boleh gitu nonton ya kerem👍👍😎😎,5,1/13/2026 7:03
Netflix,Lilik Najikah,"adain dong film dari mbc grup/film dari saudi Arabia/adain film Arab yang banyak dari aplikasi shahid/watchid,dan ada subtitle Indonesia,terjemahan bahasa Indonesia dari judul film Arab sampai terjemahan dari film tersebut.",3,1/13/2026 6:35
Netflix,Cotton Fleece,"untuk beberapa film, subtitle tidak berwarna putih jelas. Tidak ada masalah untuk subtitle film animasi. tapi untuk film lainnya, sangat mengganggu mata",3,1/13/2026 4:58
Netflix,REHAN RAMANSAH,knpa setiap bulan kena potongan Netflix padhal ga pernah berlangganan tolong lh gimna cara buat berhenti padhl g pernah sama sekali beli paketnya,1,1/13/2026 3:27
Netflix,Atin Suparmanto,"keren apk nya, tapi tambahin film Godzila yang lengkap dong, aku udah langganan tapi gada film Godzila (cuman ada minus zero)",5,1/12/2026 19:45
Netflix,Faizal Amin,Sangat Bagus sesekali trialnya atau harganya yang terjangkau,5,1/12/2026 17:29
Netflix,Joel Banjar,"busuk bukanya makin bagus Update malah makin Bikin pusing, Ini Netflix saya selalu ga bisa login ( password salah ) padahal password udh benar, Gajelas banget Mana gw udh bayar bulanan, Udh 1 Minggu ga bisa login Karna password salah, gak tau salah nya dari mana",2,1/12/2026 17:28
Netflix,Netflix Premium,"Udah bikin akun baru, bayar pake dua e-wallet yang berbeda, tapi tetap tulisannya error, pembayaran terkendala... aneh aneh, ini ga ada niat mau benerin aplikasinya kah? udah banyak yang ngeluh",1,1/12/2026 16:29
Netflix,Budi Setiyono,"setelah update malah ga bisa dibuka, selalu muat ulang terus, parah sih ini",1,1/12/2026 16:29
Netflix,ale Jingga,best movie app,5,1/12/2026 16:20
Netflix,Silky,mau dftr aj hrs brbayar👎,1,1/12/2026 14:55
Netflix,Farhenieus,"ternyata masih banyak film2 yg belum ada walau sudah lama kaya game of thrones, inception, tenet, dan masih banyak sebetulnya yg padahal film2 itu terkenal. itu saja kekurangannya menurut saya tp masa iya ga ada, sayang kali.",3,1/12/2026 12:38
Netflix,AKS F_Khanza Khaerunnisa,"Saya bayar FULL hari ini tanggal 12 Januari, tapi masa langganan yang saya terima cuma sekitar 25 hari. Ini jelas nggak masuk akal dan nggak sesuai sama yang saya bayar. Langganan bulanan kok dipotong hampir seminggu? Tolong jangan merugikan pelanggan. Saya minta penjelasan yang masuk akal dan perbaikan segera.",1,1/12/2026 11:54
Netflix,Nabil,aplikasi nya tidak bisa di buka... mohon di perbaiki 🙏🏻,1,1/12/2026 8:44
Netflix,Syarif Hidayatullah,"pas mau buat akun kita do buat muter muter sama app ini,sampai 30 kali saya mau buat akun tapi muter muter aja di app google",1,1/12/2026 7:19
Netflix,Zihan Latifah,knapa harus instal ulang terus,2,1/12/2026 4:20
Netflix,Nadia Salsa,"gilaa sih netflix mending langganan di temen aku yang udah punya akun lebih dari 1 dan bisa harian juga. dari pada daftar sendiri pake akun sendiri, udah bayar belum sampe set bulan logout ga bisa masuk lagi. kecewa banget sama netflix ga rela banget",1,1/12/2026 2:38
Netflix,Arfan Ali,uhhhhhh kesel suruh update tapi ngga jalan pas diupdate,3,1/11/2026 13:41
Netflix,RISKI SUTOMO,sudah daftar belanganan dan sudah bayar 65rb tapi tidak bisa masuk malah tampilanya kayak belum bayar langanan padahal saldo sudah kepotong 65rb.,2,1/11/2026 4:02
Netflix,Jordy Saddam,aplikasi eror di tv android!!!,2,1/11/2026 3:22
Netflix,Lily Handayani,netflix tolong tambahin film gladiator 2 dong dan ditambah film film yang berkelas kaya avatar dan yang lain lain jangan kebanyakan film drama mulu dan ditambah dong film film luar nya biar ga bosen,4,1/11/2026 3:17
Netflix,Rayi Argo,"sudah lakukan pembayaran tapi tetep tidak bisa masuk akun, sudah coba ulang tapi selalu di tujukan ke web pembayaran lagi.",1,1/11/2026 0:08
Netflix,Nenk Vicka Auliyana,ini kenapa ya Netflix gua Uda bayar kok videonya gak bisa di puter,1,1/10/2026 23:42
Netflix,Riani Dasilva,pembayaran melalui shopeepay saldo sudah terpotong tapi neflix tidak bisa dibuka,1,1/10/2026 19:59
